comment,class
  TODO define constants for magic numbers,DESIGN
  TODO consider inherited associations?  TODO self loops are double counted,DESIGN
  TODO Multiple associations between the same pair of elements  need to be special cased so that they don't overlap  tfm  20060228,DESIGN
     Gets the current threshold       TODO Should this be protected?       @return The current threshold    ,DESIGN
 TODO There is a cyclic dependency between this class and FigConcurrentRegion,DESIGN
  TODO   Move to MMUtil or some other common place and merge with  UMLComboBoxEntry findNamespace ,DESIGN
  needs more work sending and receiving icons,DESIGN
"   An object tagged as being the owner of a FigEdgeNote Has knowledge  about the source and destination of the FigEdgeNote  p   The source and destination are ModelElements  At least one of them is a Comment  but they may be both Comments   TODO There's tons of special case code scattered around ArgoUML for this  one class since it is the only ""owner"" of a FigEdgeModelElement which is not  a UML element  We should find a way to generalize this p    TODO Issue 3031 requires this class to be replaced by  a similar mechanism as the n ary association class   the node and the edges shall all have the same owner,  i e the UML Comment object    @since Jul 17, 2004  @author jaap branderhorst@xs4all nl  ",DESIGN
  TODO Offenders need to be more strongly typed  tfm 20070630,DESIGN
"  if ""expression"" implements one of the combobox, select it  TODO ? Do it in eUML module project ?",DESIGN
     @return the set of offenders       TODO The return value needs to be more strongly typed  tfm  20070630    ,DESIGN
  TODO Do all these classes need to be in their own files? public?,DESIGN
  must be overridden to make sense   I didn't want to make it abstract because it might not be required ,DESIGN
 TODO should fire its own event and ProjectBrowser  should register a listener,DESIGN
  TODO Use default value of appropriate type for TD,DESIGN
 TODO should fire its own event and ProjectBrowser  should register a listener,DESIGN
"  Our superclass no longer has this method, so perhaps this whole  thing should be removed?  tfm      super updateListeners newOwner ;",DESIGN
"  TODO   This is actually a hack! Some diagram types   like the statechart diagrams access the current  diagram to get some info This might cause  problems if there's another statechart diagram  active, so I remove the current project, before  loading the new one ",DESIGN
  TODO Handle multiple top level packages,DESIGN
"  The following is specifically for Realizations  TODO correction in GEF, it should use InterfaceRealization, not Abstraction",DESIGN
"  TODO still not used, because in ArgoUML String is ""hardwired""",DESIGN
  TODO In UML 2 x a TagDefinition has become a Property on a Stereotype  Anything that uses this will probably need to be reviewed changed   Just return Property for now ,DESIGN
"  Language must be unique  TODO do it in the model if don't use the dialog, and  change the first ",DESIGN
  TODO Cyclic dependency between PersistanceManager and here,DESIGN
  TODO This should not be an instance variable It should just be  created and discarded as needed ,DESIGN
  Check for duplicate name and rename if necessary,DESIGN
     Creates a new OCL critic       @param oclConstraint ocl expression    @param headline headline    @param description description    @param moreInfoURL the info url    @param knowledgeTypes the knowledge types    @param supportedDecisions the decisions    @param priority the priority    @throws InvalidOclException if the ocl is not valid       TODO Do these need to be Lists or can they be simple Collections?    ,DESIGN
  TODO why is this inside a block? Forgotten else branch?!?  Question by euluis @ 2009 08 16 ,DESIGN
  TODO maybe separate name,DESIGN
"  TODO A minimal update strategy would be better here to  minimize work and events firing, but it may be better to  deprecate the method and force calls to manage updates  themselves since they probably usually want to just add  or remove a single element  tfm 20061108",DESIGN
  TODO What progressMgr is to be used here? Where does     it come from?,DESIGN
  TODO Here we should e g show the user a message that      the loaded project was using a Notation that is not      currently available and a fall back on the default Notation      was done Maybe this can be implemented in the      PersistenceManager?  ,DESIGN
     TODO This is the same as in parent  remove?    @see org argouml uml diagram ui FigNodeModelElement#updateBounds     ,DESIGN
  TODO Move magic number 10 to descriptive constant,DESIGN
  TODO Should we handle  access  and  import  here?,DESIGN
"  TODO remove when code below in characters  is removed    private static final String  RETURNSTRING  ""\n   "";",DESIGN
  TODO This probably needs more qualification  tfm,DESIGN
  TODO This method is obsolete  Use getInputMap etc as below,DESIGN
  TODO check semantics here  tfm,DESIGN
  TODO Move to GEF,DESIGN
  TODO Find a way to replace this dependency on Project,DESIGN
  TODO this should be a configurable property,DESIGN
  TODO All super constrcutors should take a GraphModel,DESIGN
  and its stereotypes  TODO Aren't stereotypes handled elsewhere?,DESIGN
 TODO should fire its own event and ProjectBrowser  should register a listener  tfm,DESIGN
  TODO Support more than one body language,DESIGN
  TODO Remove this old implementation after 0 22 if it's  demonstrated that it's not needed  tfm,DESIGN
  TODO Can we find a better way to do this than hard coding colour?,DESIGN
  TODO There's a cyclic dependency between FigConcurrentRegion and  the actions ActionAddConcurrentRegion,DESIGN
   public Object getGoalInfo String goal      return _goals getProperty goal ;      TODO we need a better representation of goals     ,DESIGN
  local variables  what do they do?,DESIGN
  TODO really should be a separate class  ,DESIGN
     A modelelement has been changed    Now we give it priority to be checked by the critics ASAP       TODO why is is synchronised?    TODO what about when objects are first created?       @param dm the design material    @param reason the reason    ,DESIGN
  TODO We could generalize this to initialize more stuff if needed,DESIGN
     TODO Why is this here? Who is calling this?       @see java beans VetoableChangeListener#vetoableChange java beans PropertyChangeEvent    ,DESIGN
  TODO This probably belongs with the Diagram subsystem,DESIGN
  TODO Change this to use an UndoManager instance per project when  GEF has been enhanced ,DESIGN
"  hack for to do items only, should check isLeaf node , but that  includes empty folders Really I need alwaysLeaf node ",DESIGN
  TODO Why was this next line in the code so long?  ,DESIGN
  TODO Unused?,DESIGN
"  This method has insufficient information to call buildExtensionPoint   Thus we'll need to create one, and pray that whomever called us knows  what kind of mess they got ",DESIGN
"  TODO Do we need to set the input encoding here? It was  done for ToDo parsing, but none of the other member types  InputSource inputSource  new InputSource   new InputStreamReader inputStream, Argo   getEncoding  ;",DESIGN
  TODO Why is this not executed? Remove if not needed  tfm,DESIGN
     Loads a project displaying a nice ProgressMonitor       @param file   the project to be opened    @param showUI  whether to show the GUI or not       TODO This needs to be refactored to be GUI independent  tfm    ,DESIGN
"  TODO This doesn't belong here, but it's not a good time  to move it  Find someplace less obtrusive than this  inner loop  tfm",DESIGN
  TODO asArgument??,DESIGN
  TODO What does the magic number 6000 represent here?  Put it in an explanatory literal!  tfm  20071205,DESIGN
  TODO This creates a dependency on the Critics subsystem   Instead that subsystem should register its desired menus and actions ,DESIGN
  TODO Get rid of magic numbers! Figure out which represent line  widths vs padding vs offsets,DESIGN
  References to actions that we need for Mac hack,DESIGN
  TODO Convert all to use standard factory registration,DESIGN
  TODO should define a CompoundCritic,DESIGN
  These may not actually make any difference at present the code  behind addTrigger needs more work ,DESIGN
  TODO This class is part of a dependency cycle with ProjectBrowser and,DESIGN
  hack in order to be able to compile in java1 3,DESIGN
  TODO Won't our use of PathComparator take care of uniqueness?,DESIGN
  Andreas just temporary for the uml2 pre alpha versions!,DESIGN
  now get all classifiers imported from other packages  TODO This should probably happen automatically in  getAllModelElementsOfKind   tfm,DESIGN
"  TODO Add an ""open most recent project"" command so that   command state can be decoupled from user settings?",DESIGN
"       Install the trap to ""eat"" SecurityExceptions           NOTE This is temporary and will go away in a ""future"" release      http  bugs sun com bugdatabase view_bug do?bug_id 4714232      ",DESIGN
  TODO What are these magic numbers?,DESIGN
"     Create a TaggedValue with a tag type matching our source module    filename and a value of the file's last modified timestamp       TODO This functionality needs to be moved someplace useful if    it's needed, otherwise it can be deleted  tfm  20070217    ",DESIGN
  hack in order to be able to compile in java1 3,DESIGN
     Choose the arrowhead style for each end  p       TODO This is called from paint  Would it not better    be called from renderingChanged ?    ,DESIGN
  TODO Why isn't this stuff managed by the nameFig itself?,DESIGN
  Andreas just temporary a warning dialog for uml2  ,DESIGN
   TODO this class should be moved to package  org argouml uml ui behavior common_behavior  ,DESIGN
"  If is a classifier role, it must return the sent messages   In other cases, returns an empty list   TODO Must be the incoming messages or the sent ones?",DESIGN
"     Initialize the ArgoUML application version, so that    @link ApplicationVersion#getVersion  doesn't return null       @throws Exception if something goes wrong     TODO move this to an helper class    ",DESIGN
     Create an Enumeration    @return Object new Enumeration    @since UML 1 4    TODO This needs an extra parameter to specify the model extent where    the new element should be created    ,DESIGN
  TODO Lets move this behind the model interface,DESIGN
"  If is a classifier role, it must return the received messages   In other cases, returns an empty list   TODO Must be the outgoing messages or the received ones?",DESIGN
   ArgoEventPump is an event dispatcher which handles events that are global  in nature for the entire application   p  TODO DiagramAppearance and Notation events are not application wide and will  be moved from here to someplace more specific in the future so that they can  be managed on a per project or per diagram basis  ,DESIGN
     Create an empty but initialized instance of a UML Node       @return an initialized UML Node instance    TODO This needs an extra parameter to specify the model extent where    the new element should be created    ,DESIGN
  TODO Once we have fixed all subclasses the title will  always be localized so this localization can be removed ,DESIGN
     Get the classifier participant of an AssociationEnd       TODO Rename this getParticipant to align with UML spec  tfm  20070331    @param handle The AssociationEnd to get from    @return The classifier of the AssociationEnd    ,DESIGN
     Determine if the passed parameter has a RETURN direction kind        TODO This is a duplicate of @link #isReturn Object        @return true if it is a return direction kind    @param handle the parameter    ,DESIGN
  TODO Is it appropriate the TemplateableElement as the client and a  list of TemplateParameterSubstitution as the list of parameters?,DESIGN
"  TODO ActionState, CallState, and SubactivityState have been replaced  in UML 2 0 by explicitly modeled Actions",DESIGN
  TODO Silently ignore instead?      return false;,DESIGN
     Find the Icon for a given model element       @return The Icon or code null code if there is no Icon    @param value The model element       TODO This should not use string matching on classnames to do this       since this means that we have knowledge about how the model       elements are implemented outside of the Model component    ,DESIGN
  Initialze GEF's version of the loader too  TODO We should probably be passing icons that we loaded ourselves  but there doesn't seem to be a way to do that with GEF  tfm,DESIGN
     Return the key tag of some tagged value       TODO This does exactly the same as getTag Object  Remove one of them       @param handle The tagged value    @return The found value as String    ,DESIGN
"  TODO Lots more types  Duration, Instance, Interval",DESIGN
  TODO Can we get this from the metamodel?  $NON NLS 1$,DESIGN
  TODO How do we get the Connectors of an Association?,DESIGN
  TODO Remove? Can't be localized,DESIGN
"  A Classifier can only have a single unnamed ClassifierRole, so  TODO This probably belongs in a critic instead of here",DESIGN
"     The part of the design this issue affects     p    Each member is either a model element, a @link Fig , or a    @link Diagram     p    TODO Offenders need to be more strongly typed Because there is not a    common supertype for these three types, we can't type this list We    should introduce a common supertype interface  tfm 20070630    p    The list of offenders is set once e g by the constructor    and cannot change     p    ",DESIGN
     Reply a Set of design material's that are the subject of this ToDoItem       @return the offenders    TODO Offenders need to be more strongly typed  tfm 20070630    ,DESIGN
  TODO this could be a huge collection  find a more efficient way,DESIGN
  TODO Generalize  assumes UML type names are unique  without the qualifying package names  true for UML 1 4,DESIGN
   Models the designers goals in making this design  Provides useful  control information to the Agency so that only critics relevant to  the designers goals are ever executed   TODO Really this should be part of a domain extension  and not the kernel  I have not developed this part of Argo very  much   @author Jason Robbins  ,DESIGN
"  TODO Do we need to worry about UmlClass, UmlPackage, etc?",DESIGN
  TODO This should fetch the stereotype from our profile,DESIGN
  TODO Encountering a deleted object during  any part of this traversal will  abort the rest of the traversal   We probably should do the whole traversal  in a single MDR transaction ,DESIGN
     Return the default type for the return parameter of a method        @return a Classifier to use as the default type    TODO This belongs in ProjectSettings  tfm    ,DESIGN
  TODO Hold lock for entire recursive traversal?,DESIGN
  TODO Add EnumerationLiteral someplace,DESIGN
  TODO This is well formedness rule from UML1 4 2  4 5 3 20 1 A root cannot have any Generalizations   self isRoot implies self generalization isEmpty,DESIGN
  TODO This should fetch the stereotype from our profile,DESIGN
  TODO Lets build this into a separate buildToolbar method,DESIGN
  TODO This references the concrete factory  We need a factories factory,DESIGN
     Set the target anew       TODO This method is never used What is its intention? Remove it?    ,DESIGN
  TODO This first loop just to count the items appears  redundant to me  tfm 20070630,DESIGN
"  Create a new panel for the given step For example, When the    given step is 1, create the first step of the wizard  p        TODO It might be convient to make a reusable    subclass of Wizard that shows all textual steps to guide the    user without any automation  Such a Wizard could be easily    authored, stored in an XML file, and efficiently presented by    reusing a single panel with a single JTextArea        @param newStep the number of the step to make a panel for     @return a new panel for the given step    ",DESIGN
  TODO TabToDo should listen for an event that this fires so that we  can decouple from the ProjectBrowser  tfm,DESIGN
  TODO This is using internal knowledge of GEF  It should  handle this itself  tfm,DESIGN
     Copy a file from source to destination       TODO Perhaps belongs in a utilities class of some sort       @param source the source file to be copied    @param dest the destination file    @return success status flag    ,DESIGN
  TODO This is using internal knowledge of GEF  It should      handle this itself  tfm      MVW Move into something like Main initGEF   ,DESIGN
     For Locale selection p       TODO Detect the available locales from the available files       @return Locales used in ArgoUML    ,DESIGN
     Return the default type for an attribute        @return a Classifier to use as the default type    TODO This belongs in ProjectSettings  tfm    ,DESIGN
  TODO Unused?,DESIGN
"     Searches for a type classifier with name s If the type is not found, a    new type is created and added to the current namespace     p    TODO Move to Model subsystem  tfm 20070307       @param s         the name of the type classifier to be found    @return Classifier    ",DESIGN
  TODO What if used elsewhere?  ,DESIGN
"     Searches for a type classifier with name s If defineNew is    true, a new type is defined if the type classifier is not    found The newly created type is added to the currentNamespace    and given the name s     p    TODO Move to Model subsystem  tfm 20070307       @param s the name of the type classifier to be found    @param defineNew if true, define a new one    @return Classifier the found classifier    ",DESIGN
"     Moves some object to trash, i e deletes it completely with all    dependent structures  p       Deleting an object involves  pre     Removing Target history     Deleting all Fig representations for the object     Deleting the UML element     Deleting all dependent UML modelelements     Deleting CommentEdges which are not UML elements     Move to trash for enclosed objects, i e graphically drawn on top of     Move to trash subdiagrams for the object     Saveguard that there is always at least 1 diagram left     If the current diagram has been deleted, select a new one to show     Trigger the explorer when a diagram is deleted     Set the needsSave dirty flag of the projectmanager     pre       @param obj The object to be deleted    @see org argouml kernel ProjectImpl#trashInternal Object     p     TODO This should just be named delete  or something which better    tells what it does since there really isn't a trash can     ",DESIGN
  Changed in UML 2 1  Component with  subsystem  stereotype  TODO We should deprecate this?,DESIGN
     Returns the root package        @return the Package which is the root    @deprecated for 0 25 4 by tfmorris  use @link #getRoots  to          get packages model elements which are at the top level           p          TODO We probably need a getDefaultNamespace  method or          something similar to replace some uses of this    ,DESIGN
"     Updates the top level ModelElements for all projects In UML2, each    model knows it's root elements, so this could make setRoots      obsolete E g , applying a stereotype in UML2 adds a new root        TODO This is redundant with setRoots getRoots  There are already too    many ways this stuff is managed without adding an additional one    All current model subsystem implementations know their top level    elements  Responsibility can be moved to the model subsystem, but    let's choose one way of managing this    ",DESIGN
"   A datastructure for settings for a Project  p   Most getters return a string, since they are used by ""argo tee""  This is also the reason all these attributes  are not part of a Map or something  p   TODO The header comment is currently not used  this function  is not completely implemented yet How do we store this in the project?  Where should the user enter his header comment? See issue 4813   @author michiel  ",DESIGN
"   Notation settings value object Stores settings which control how text is  rendered on diagrams   p  TODO This needs to go on a diet It's used everywhere, so is performance  sensitive The current set of settings is the union of all those found in the  legacy code, but it's not clear that all of them are actually used    @author Tom Morris tfmorris@gmail com  ",DESIGN
"     This does a calculation of where our ""ext"" directory is    TODO We should eventually make sure that this calculation is       only present in one place in the code and not several    ",DESIGN
     In contrast to @link #getZipName  returns the member's    name without the prepended name of the project    but with the extension  p        TODO This is not used anywhere  shall we remove it?       @author Steffen Zschaler       @return the member's name without any prefix or suffix    ,DESIGN
  TODO End up with multiple models here,DESIGN
  We're deleting the last diagram so lets create a new one  TODO Once we go MDI we won't need this ,DESIGN
  TODO What if used elsewhere?  ,DESIGN
     Create a notation settings value object with all default values     p    TODO This class only has partial Undo support basically just those    members that had it as part of a previous implementation     ,DESIGN
  This code was copied from ActionBooleanTaggedValue  ,DESIGN
 this is the temporary solution for issue 1011,DESIGN
"     Parse a Message textual description p       TODO  This method is too complex, lets break it up  p       @param umlMessage the UML Message object to apply any changes to    @param s  the String to parse    @throws ParseException         when it detects an error in the attribute string See also         ParseError getErrorOffset     ",DESIGN
  this is the temporary solution for issue 1011,DESIGN
"  TODO AddOnly has been removed in UML 2 x, so we should phase out  support of it  tfm  20070529",DESIGN
  Save the argo entry  TODO Cyclic dependency with PersistenceManager  move PersistenceManager getProjectBaseName  someplace else,DESIGN
"  If c2 is empty, then we're done or there is a  cycle in the message graph, which would be bad If  c2 has more than one element, then the model is  crappy, but we'll just use one of them anyway",DESIGN
     Utility method to encode a String in a way that allows it to be    saved properly in an XML file and regained filtering out any noice    that an XML framework might have seen fit to add       TODO Why are we doing this ourselves? Surely encoding information    for XML serialization is a well known task  tfm    I have never understood why this is being done I think we should remove    any usage  bob       @param	str	The String to encode    @return	The encoded String    ,DESIGN
  These may not actually make any difference at present the code  behind addTrigger needs more work ,DESIGN
  These may not actually make any difference at present the code  behind addTrigger needs more work ,DESIGN
 hence a less elegant workaround that works ,DESIGN
  TODO What if used elsewhere?  ,DESIGN
"  This should probably be inside xmiReader parse  but there is another place in this source  where XMIReader is used, but it appears to be  the NSUML XMIReader  When Argo XMIReader is used  consistently, it can be responsible for loading  the listener  Until then, do it here ",DESIGN
  These may not actually make any difference at present the code  behind addTrigger needs more work ,DESIGN
"   A critic to suggest using the facade stereotype  p   TODO At the moment only a dummy implementation,  see issue 3093  ",DESIGN
  TODO What progressMgr is to be used here? Where does     it come from?,DESIGN
  TODO Is this needed?  ,DESIGN
  Could this be some other type of internal error that we want  to handle differently? Don't think so   tfm,DESIGN
  TODO What if used elsewhere?  ,DESIGN
 TODO should fire its own event and ProjectBrowser  should register a listener,DESIGN
"     Create and register diagrams for activity and statemachines in the    model s of the project If no other diagrams are created, a default    Class Diagram will be created ArgoUML currently requires at least one    diagram for proper operation       TODO Move to XmiFilePersister protected       @param project         The project    ",DESIGN
"  Load xmi file before any PGML files  FIXME the following is loading the model before anything else   Due to the Zargo containing the profiles, currently we have  removed this hack in UmlFilePersister and I think it should be  removed from here also ",DESIGN
"   A BufferInputStream that is aware of XML structure  It searches for the first occurrence of a named tag  and reads only the data inclusively from that tag  to the matching end tag or it can search for the first  occurrence of a named tag and read on the child tags  The tag is not expected to be an empty tag   p  TODO This is hardwired to assume a fixed single byte  character encoding  It needs to be updated to handle different  encodings, including multi byte encodings  tfm 20070607   @author Bob Tarling  ",DESIGN
  TODO Attempt to move the following code to GEF,DESIGN
  TODO Use stylesheet to convert or wait till we use Fig  factories in diagram subsystem   What is the last version that used FigNote?,DESIGN
  TODO Move to Diagram subsystem?,DESIGN
     Set the fig style attributes     p       TODO This should move into the render factories as described in issue    859       @param fig the fig to style    @param attributeMap a map of name value pairs    ,DESIGN
  TODO Move to GEF,DESIGN
"  TODO Without this, we fail to draw e g a Class          But is this a good solution?          Why is the Layer not set in the constructor?  ",DESIGN
"  TODO we really want to be able replace the initial content handler  which is passed to SAX, but we can't do this without cloning a  whole bunch of code because it's private in the super class ",DESIGN
"  If no Fig was created by the code above then we must go  look for the old style constructor that should have fallen  into disuse by now   Fig Object, Rectangle, DiagramSettings   All of these constructors should have been deprecated  at least and replaced with the new signature This is  here for paranoia only until all Figs have been reviewed ",DESIGN
  A FigNodeModelElement with no owner should match here  TODO This is a temporary solution due to FigPool  extending  FigNodeModelElement when in fact it should not do so ,DESIGN
  TODO Move to GEF,DESIGN
"     Translate the visibility flag of a Fig to the PGML ""visibility"" attribute    value    The PGML values are 0 hidden and 1 shown    If not specified then 1 is the default so we return null for this to    prevent redundent data being written to PGML    TODO Remove on GEF release after 0 11 9 as it will be provided there        @param f The Fig    @return ""0"" hidden, null shown    ",DESIGN
   The file persister for the UML model  TODO This is empty  What is its purpose?  tfm  @author Bob Tarling  ,DESIGN
"         TODO Not sure we need to do this, but just to be safe for now        ",DESIGN
     Open a ZipInputStream to the first file found with a given extension       TODO Remove since this is a duplicate of ZipFilePersister method    when we have refactored the Persister subsystem       @param url         The URL of the zip file    @param ext         The required extension    @return the zip stream positioned at the required location    @throws IOException          if there is a problem opening the file    ,DESIGN
   TODO this doesn't need a full ProfileReference since it uses the  reader handed in the constructor It doesn't make much sense to make  its callers init the path to some name which it doesn't need    @author Luis Sergio Oliveira euluis  ,DESIGN
  TODO What does the magic number 6000 represent here?  Put it in an explanatory literal!  tfm  20071205,DESIGN
"  TODO Seems like overkill to load the model just to get the display  name, but that's where it's stored currently  tfm",DESIGN
"  TODO This appears unused  If it's needed, the Model API should  be enhanced to provide a method that does this directly ",DESIGN
  TODO Is this critics embedded in comments actually used by anyone?,DESIGN
  TODO All this profile loading handling needs to  move someplace in model subsystem probably,DESIGN
  TODO We need a specific exception type here ,DESIGN
" TODO this profile isn't used anymore, see getModel ",DESIGN
  TODO This is an absurdly long method! Break it up ,DESIGN
  TODO We need a specific exception type here ,DESIGN
  TODO This code is cloned over and over again!  tfm,DESIGN
   Settings dialog tab panel for layout options p   TODO This class contains a lot of references to org argouml uml ui  It would probably be better to move it there    TODO This class breaks too many dependency limitations   And it is not used anywhere So I MVW disabled its functionality    @author Linus Tolke  ,DESIGN
"       TODO We could also support other flavors here,      e g image then you can drag modelelements directly into      your wordprocessor, to be inserted as an image       ",DESIGN
  TODO Why isn't this done in save?,DESIGN
"  TODO The following handling of multiselection is just a local  solution for the line color, better find a more general solution   I don't know if it's undoable this way  thn ",DESIGN
"  TODO The following handling of multiselection is just a local  solution for the fill color, better find a more general solution   I don't know if it's undoable this way  thn ",DESIGN
  TODO We need to get the model extent and package? associated with  the current diagram so that we can create the new element in the  right place ,DESIGN
"   The dialog that allows the user to go to any diagram in the project  by doubleclicking on it p   This dialog is not modal, and can stay open while the user  is working on the model It is even possible to open multiple  of these dialogs, although the purpose of such useraction eludes me p   TODO This dialog should have multiple tabs named ""Help"", ""Diagram"",  ""Classifier"", ""StateVertex"", etc Which would allow the user to go to other  things than diagrams   @author MVW   ",DESIGN
  TODO Bob says  tabs that listen for target changes  should register themselves not expect DetailsPane to  listen and pass on the event Otherwise these tabs  always rely on DetailsPane TabToDoTarget and TabProps  currently listen directly ,DESIGN
"  TODO Some parts of ArgoUML have preliminary support for multiple    details panels, but we currently only support    the default South bottom panel    ",DESIGN
  TODO Check that this is correct,DESIGN
     Flag to indicate if we are the main application    or being integrated in another top level application such    as Eclipse via the ArgoEclipse plugin     TODO This is a temporary measure until ProjectBrowser    can be refactored more appropriately  tfm    ,DESIGN
  TODO Bob says  tabs that listen for target changes  should register themselves not expect DetailsPane to  listen and pass on the event Otherwise these tabs  always rely on DetailsPane TabToDoTarget and TabProps  currently listen directly ,DESIGN
"     Try to save the project    @param overwrite if true, then we overwrite without asking    @param file the File to save to    @param pmw    the ProgressMonitor to be updated;    @return true if successful       TODO Separate this into a Swing specific class  tfm    @deprecated in 0 29 1 by Bob Tarling use trySaveWithProgressMonitor    ",DESIGN
     TODO Work in progress here to allow multiple details panes with    different contents  Bob Tarling    ,DESIGN
  TODO This causes a cyclic depencency with ActionSaveProject,DESIGN
     TODO this needs work so that users can set the font    size through a gui preference window    ,DESIGN
"     Loads a project displaying a nice ProgressMonitor       @param overwrite if true, the file is going to be overwritten    @param file   the target file       TODO Separate this into a Swing specific class  tfm    @param exit if true exit ArgoUML when done    ",DESIGN
  TODO Bob says   We're looking at focus change to  flag the start of an interaction This  is to detect when focus is gained in a prop  panel field on the assumption editing of that  field is about to start   Not a good assumption We Need to see if we can get  rid of this ,DESIGN
"   This class represents a Pool of Swimlanes for Activity diagrams This is  exists only to act as the GEF style encloser Other nodes in the same  must be placed entirely within or outside the boundaries of this Fig  but cannot intersect with the boundary  p  TODO There is no actual model element being represented here so we are  inheriting a lot of behaviour from FigNodeModelElement that we don't want  We require to split FigNodeModelElement to separate the code that requires  a model element owner See issue   p  Remark mvw Why not give it an owner instead? The ActivityGraph  is the obvious candidate, or maybe the top state   @author mkl  ",DESIGN
   Manages a ProgressMonitor dialog    NOTE Users of this class should use the type of the interface  @link org argouml taskmgmt ProgressMonitor wherever possible to  maintain GUI independence    @author andrea_nironi@tigris org   TODO Bob says I don't like the naming of this class Its confusing that  its called  Window and yet it is not a window Lets rename once we have  it hidden  ,DESIGN
"     Loads the project file and opens all kinds of error message windows    if it doesn't work for some reason In those cases it preserves    the old project       @param file the file to open    @param showUI true if an error message may be shown to the user,           false if run in commandline mode    @param pmw    the ProgressMonitor to be updated;                if not needed, use null    @return true if the file was successfully opened       TODO Separate this into a Swing specific class  tfm    ",DESIGN
  TODO This should listen for file save events  tfm,DESIGN
"     Loads the project file and opens all kinds of error message windows    if it doesn't work for some reason In those cases it preserves    the old project       @param file the file to open    @param showUI true if an error message may be shown to the user,           false if run in commandline mode    @param pmw 	the ProgressMonitor to be updated;    				if not needed, use null    @return project the project that was created based on the file that was            successfully opened       TODO Separate this into a Swing specific class  tfm    ",DESIGN
  TODO Can we move this knowledge behind model facade rather than have a condition here?,DESIGN
"   A command to set selected figs to their minimum size  p  Despite its name, really the minimum size is selected here! p    TODO Rename this class   @author Markus Klink  ",DESIGN
"     This Fig is never placed on a diagram It is only used by the call    renderer so that pick list items look like diagram Figs    TODO This Fig does not represent a model element and so it    should not extend FigNodeModelElement We should split    FigNodeModelElement in two, one for base functionality for all nodes    and one that is truly for model elements    ",DESIGN
  TODO Why is this code even getting called for a FigGeneralization?,DESIGN
"   Class to manage Project related actions which need to be or historically  have been managed as singletons    TODO It's unclear to me whether all of these actually have to be managed as  singletons, but for now I've just moved them from ProjectBrowser as is  tfm   @author Tom Morris  ",DESIGN
"  TODO This shouldn't know the internal form of type names,  but I'm not sure what GEF's PredicateType does, so I'm fixing it  here  tfm",DESIGN
  TODO Move to different class?,DESIGN
"  I hate this so much even before I start writing it   Re initialising a global in a place where no one will see it just  feels wrong  Oh well, here goes ",DESIGN
"  TODO This shouldn't know the internal form of type names,  but I'm not sure what GEF's PredicateType does, so I'm fixing it  here  tfm",DESIGN
 TODO should fire its own event and ProjectBrowser  should register a listener,DESIGN
  Kludge required by GEF's use of HashMap in the API  TODO This can be removed if they ever fix GEF to use  Maps,DESIGN
  critique menu  TODO This dependency should be inverted with the Critics subsystem  registering its desired shortcuts with us  tfm,DESIGN
"   GenericArgoMenuBar defines the menu bar for all operating systems which do  not explicitly ask for a different kind of menu bar, such as Mac OS X   p   Menu's and the mnemonics of menu's and the menuitems are separated in the  PropertyResourceBundle em menu properties em   p   menu items are separated in the PropertyResourceBundle  em action properties em   p   The key's in menu properties have the following structure    pre   menu           file  name of menu    e g           menu file    mnemonics of menu's    file  name of menu mnemonic   e g           menu file mnemonic    mnemonics of menuitems  file  flag for item  name of menuitem mnemonic   e g           menu item new mnemonic   pre   TODO Add registration for new menu items  @deprecated in 0 29 2 by Bob Tarling This class will be moved and made  private in future Use MenuBarFactory createApplicationMenuBar  ",DESIGN
     forwards this event to the tree model       @param element the modelelement to be changed       TODO  This shouldn't be public  Components desiring to    inform the Explorer of changes should send events    ,DESIGN
  TODO Delete should be available on any combination of model  elements and diagrams   TODO Shouldn't be creating a new instance here We should  hold the delete action in some central place ,DESIGN
     Adds the entry to the mru list       @param filename         of the project       TODO This should listen for file save events rather than being called    directly  tfm    ,DESIGN
  TODO Make sure this shouldn't go into a previous  condition tml,DESIGN
  TODO Shouldn't be creating a new instance here We should  hold the delete action in some central place ,DESIGN
     The tree structure has changed significantly    Inform the associated tree model       TODO  This shouldn't be public  Components desiring to    inform the Explorer of changes should send events    @deprecated by mvw in V0 25 4 Use events instead    ,DESIGN
  TODO We really only care about events which affect things that  are visible in the current perspective view  This could be  tailored to cut down on event traffic  tfm 20060410,DESIGN
     The singleton instance       TODO Why is this a singleton? Wouldn't it be better to have exactly    one for every Explorer?    ,DESIGN
  TODO Rather than specifically ignore some item maybe it would be better  to specifically state what items are of interest Otherwise we may still  be acting on other events we don't need,DESIGN
  TODO We need a factory pattern for GoXXX classes that can determine if they are required,DESIGN
  TODO We need a factory pattern for GoXXX classes that can determine if they are required,DESIGN
  TODO Can this be made more restrictive?  Do we care about any attributes other than name?  tfm,DESIGN
  This is carried over from previous implementation  not sure why we don't want contents of package  tfm  20060214,DESIGN
  TODO Any Namespace can contain other elements  Why don't we allow  this?  tfm,DESIGN
"  TODO Really should be Element ModelElement, but we don't  have a type which is portable for this",DESIGN
  TODO This method can be replaced by getClass  getSimpleName   when Argo drops support for Java versions  1 5,DESIGN
